,ANÁLISIS / ANALYSES,UNIDADES / UNIT,MIN,MAX,MÉTODO / METHOD,RESULTADOS DE CALIDAD / QUALITY RESULTS,CLIENTE,PRODUCTO,FECHA,NUM PAGINA,ARCHIVO,INCERTIDUMBRE/ UNCERTAINTY %
28960,INDICE ANTIDETONANTE,,Reportar,,Calculo,90.8,TOTAL LAS DAMAS,GASOLINA PREMIUM,2023-10-05 18:38:00,1,2023 05 043.pdf,
28961,NUMERO DE OCTANO METODO RESEARCH (RON),.,89,,ASTM D-2699,92.0,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28962,NUMERO DE OCTANO METODO MOTOR (MON),,76,,ASTM D-2700,82.4,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28963,CONTENIDO DE PLOMO,G/gal,.,0.02,ASTM D-3237,N/D,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28964,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,ASTM D-323,9.01,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28965,RVP + 0.1 E 70 °C,.,Reportar,.,Calculo,11.69,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28966,DESTILACION 10% VOL. RECUPERADO,· C,,75,ASTM D86,55,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28967,DESTILACION 50% VOL RECUPERADO,·℃,,121,ASTM D86,95,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28968,DESTILACION 90% VOL. RECUPERADO,,,190,ASTM D86,187,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28969,PUNTO FINAL,℃,,225,ASTM D86,204,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28970,RESIDUO,% Vol.,,"2,0",ASTM D86,0.6,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28971,RECUPERADO @ 70 ℃,% Vol.,Reportar,,ASTM D86,26.75,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28972,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,1,4,ASTM D-381,0.4,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28973,PERIODO DE INDUCCION,Minutos,240,.,ASTM D-525,>240,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28974,CONTENIDO DE AZUFRE,% Peso,,0.15,ASTM D-4294,N/D,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28975,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 °℃),Adim.,,No 1,ASTM D-130,1A,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28976,PRUEBA DOCTOR,Adim.,Negativo,1,IP-30,Negativo,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28977,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0006,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28978,COLOR,,Naranja,,.,Rojo,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28979,OLOR,,Comerciable,,,Comerciable,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28980,DENSIDAD @ 15 ℃,Kg/L,Reportar,,ASTM D-1298,0.7386,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28981,GRAVEDAD API @ 60 ° F,,Reportar,,ASTM D-1298,60,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28982,INDICE ANTIDETONANTE,,Reportar,,Calculo,87.2,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,2,2023 05 043.pdf,
28983,NUMERO DE OCTANO METODO RESEARCH (RON),,89,,ASTM D-2699,92.3,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,3,2023 05 043.pdf,
28984,NUMERO DE OCTANO METODO MOTOR (MON),-,76,,ASTM D-2700,82.4,TOTAL LAS DAMAS,GASOLINA REGULAR,2023-10-05 18:38:00,3,2023 05 043.pdf,
28985,NUMERO DE OCTANO METODO RESEARCH (RON),",",95,,ASTM D-2699,95.0,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
28986,NUMERO DE OCTANO METODO MOTOR (MON),,82,,ASTM D-2700,85.4,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
28987,CONTENIDO DE PLOMO,G/gal,.,0.02,ASTM D-3237,N/D,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
28988,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,-,10.0,ASTM D-323,8.19,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
28989,RVP + 0.1 E 70 °℃,-,Reportar,-,Calculo,10.49,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
28990,DESTILACION 10% VOL. RECUPERADO,,,75,ASTM D86,54,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
28991,DESTILACION 50% VOL. RECUPERADO,℃,,121,ASTM D86,96,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
28992,DESTILACION 90% VOL. RECUPERADO,℃,,190,ASTM D86,166,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
28993,PUNTO FINAL,℃,.,225,ASTM D86,202,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
28994,RESIDUO,% Vol.,,"2,0",ASTM D86,0.4,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
28995,RECUPERADO @ 70 °C,% Vol.,Reportar,.,ASTM D86,23.00,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
28996,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,1,4,ASTM D-381,N/D,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
28997,PERIODO DE INDUCCION,Minutos,240,,ASTM D-525,>240,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
28998,CONTENIDO DE AZUFRE,% en Peso,,0.15,ASTM D-4294,N/D,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
28999,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No. 1,ASTM D-130,1A,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
29000,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
29001,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0004,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
29002,COLOR,,Incoloro,,,Amarillo,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
29003,OLOR,,Comerciable,,,Comerciable,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
29004,DENSIDAD @ 15 ℃,Kg/L,Reportar,,ASTM D-1298,0.7429,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
29005,GRAVEDAD API @ 60 º F,1,Reportar,,ASTM D-1298,58.9,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
29006,INDICE ANTIDETONANTE,,Reportar,,Calculo,90.2,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,1,2023 08 048.pdf,
29007,NUMERO DE OCTANO METODO RESEARCH (RON),,95.0,,ASTM D-2699,95.0,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,2,2023 08 048.pdf,
29008,NUMERO DE OCTANO METODO MOTOR (MON),,82.0,,ASTM D-2700,85.6,SIGMA KM 25,GASOLINA PREMIUM,2023-08-15 18:33:00,2,2023 08 048.pdf,
29009,NUMERO DE OCTANO METODO RESEARCH (RON),",",89,,ASTM D-2699,92.3,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29010,NUMERO DE OCTANO METODO MOTOR (MON),,76,-,ASTM D-2700,82.3,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29011,CONTENIDO DE PLOMO,G/gal,,0.02,ASTM D-3237,N/D,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29012,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,ASTM D-323,9.14,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29013,RVP + 0.1 E 70 °C,-,Reportar,",",Calculo,11.62,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29014,DESTILACION 10% VOL. RECUPERADO,º C,.,75,ASTM D86,55,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29015,DESTILACION 50% VOL. RECUPERADO,℃,,121,ASTM D86,100,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29016,DESTILACION 90% VOL. RECUPERADO,℃,,190,ASTM D86,163,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29017,PUNTO FINAL,℃,,225,ASTM D86,196,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29018,RESIDUO,% Vol.,,"2,0",ASTM D86,0.4,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29019,RECUPERADO @ 70 °C,% Vol.,Reportar,,ASTM D86,24.78,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29020,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,-,4,ASTM D-381,0.8,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29021,PERIODO DE INDUCCION,Minutos,240,,ASTM D-525,>240,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29022,CONTENIDO DE AZUFRE,% Peso,,0.15,ASTM D-4294,N/D,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29023,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° ℃),Adim.,,No 1,ASTM D-130,1A,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29024,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29025,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0006,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29026,COLOR,-,Naranja,,,Rosado,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29027,OLOR,.,Comerciable,,,Comerciable,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29028,DENSIDAD @ 15 ℃,Kg/L,Reportar,,ASTM D-1298,0.7402,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29029,GRAVEDAD API @ 60 °F,,Reportar,,ASTM D-1298,59.6,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29030,INDICE ANTIDETONANTE,,Reportar,,Calculo,87.3,SIGMA KM 25,GASOLINA REGULAR,2023-08-15 18:33:00,3,2023 08 048.pdf,
29031,NUMERO DE OCTANO METODO RESEARCH (RON),,95,",",ASTM D-2699,94.8,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29032,NUMERO DE OCTANO METODO MOTOR (MON),,82,1,ASTM D-2700,86.1,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29033,CONTENIDO DE PLOMO,G/gal,,0.02,ASTM D-3237,N/D,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29034,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,",",10.0,ASTM D-323,8.38,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29035,RVP + 0.1 E 70 °C,.,Reportar,1,Calculo,10.67,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29036,DESTILACION 10% VOL. RECUPERADO,º C,,75,ASTM D86,55,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29037,DESTILACION 50% VOL. RECUPERADO,,,121,ASTM D86,108,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29038,DESTILACION 90% VOL. RECUPERADO,0℃,,190,ASTM D86,168,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29039,PUNTO FINAL,·℃,,225,ASTM D86,205,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29040,RESIDUO,% Vol.,,"2,0",ASTM D86,1.0,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29041,RECUPERADO @ 70 °C,% Vol.,Reportar,1,ASTM D86,"1
22.92",PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29042,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,.,4,ASTM D-381,N/D,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29043,PERIODO DE INDUCCIÓN,Minutos,240,.,ASTM D-525,>240,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29044,CONTENIDO DE AZUFRE,% en Peso,,0.15,ASTM D-4294,N/D,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29045,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No. 1,ASTM D-130,1A,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29046,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29047,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0003,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29048,COLOR,.,Incoloro,,,Amarillo,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29049,OLOR,-,Comerciable,,,Comerciable,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29050,DENSIDAD @ 15 ℃,Kg/L,Reportar,,ASTM D-1298,0.7425,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29051,GRAVEDAD API @ 60° F,,Reportar,,ASTM D-1298,59.0,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29052,INDICE ANTIDETONANTE,-,Reportar,,Calculo,90.5,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,1,2023 05 080.pdf,
29053,NUMERO DE OCTANO METODO RESEARCH (RON),,95,1,ASTM D-2699,95.2,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,2,2023 05 080.pdf,
29054,NUMERO DE OCTANO METODO MOTOR (MON),-,82,-,ASTM D-2700,86.4,PETROMOVIL KM 32,GASOLINA PREMIUM,2023-05-17 16:48:00,2,2023 05 080.pdf,
29055,NUMERO DE OCTANO METODO RESEARCH (RON),,,,ASTM D-2699,91.9,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29056,NUMERO DE OCTANO METODO MOTOR (MON),,76,-,ASTM D-2700,82.3,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29057,CONTENIDO DE PLOMO,G/gal,.,0.02,ASTM D-3237,N/D,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29058,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,ASTM D-323,9.35,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29059,RVP + 0.1 E 70 °C,.,Reportar,.,Calculo,12.50,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29060,DESTILACION 10% VOL. RECUPERADO,0 ℃,",",75,ASTM D86,56,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29061,DESTILACION 50% VOL. RECUPERADO,ºC,,121,ASTM D86,96,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29062,DESTILACION 90% VOL. RECUPERADO,℃,,190,ASTM D86,165,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29063,PUNTO FINAL,℃,,225,ASTM D86,196,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29064,RESIDUO,% Vol.,,"2,0",ASTM D86,0.4,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29065,RECUPERADO @ 70 °C,% Vol.,Reportar,-,ASTM D86,27.00,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29066,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,,4,ASTM D-381,0.7,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29067,PERIODO DE INDUCCION,Minutos,240,.,ASTM D-525,>240,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29068,CONTENIDO DE AZUFRE,% Peso,,0.15,ASTM D-4294,N/D,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29069,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° ℃),Adim.,,No 1,ASTM D-130,1A,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29070,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29071,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0006,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29072,COLOR,-,Naranja,,,Rojo,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29073,OLOR,-,Comerciable,,,Comerciable,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29074,DENSIDAD @ 15 ℃,Kg/L,Reportar,-,ASTM D-1298,0.7386,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29075,GRAVEDAD API @ 60 ° F,,Reportar,,ASTM D-1298,60.0,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29076,INDICE ANTIDETONANTE,,Reportar,,Calculo,87.1,PETROMOVIL KM 32,GASOLINA REGULAR,2023-05-17 16:48:00,3,2023 05 080.pdf,
29077,NUMERO DE OCTANO METODO RESEARCH (RON],,95,.,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29078,NUMERO DE OCTANO METODO MOTOR (MON),.,82,.,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29079,CONTENIDO DE PLOMO,G/gal,,0.02,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29080,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29081,RVP + 0.1 E 70°C,.,Reportar,-,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29082,DESTILACION 10% VOL. RECUPERADO,,1,75,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29083,DESTILACION 50% VOL. RECUPERADO,℃,,121,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29084,DESTILACION 90% VOL. RECUPERADO,℃,1,190,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29085,PUNTO FINAL,°C,,225,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29086,RESIDUO,% Voi.,,"2,0",,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29087,RECUPERADO @ 70 °C,% Vol.,Reportar,,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29088,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,1,4,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29089,PERIODO DE INDUCCION,Minutos,240,,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29090,CONTENIDO DE AZUFRE,% en Peso,,0.15,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29091,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No. 1,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29092,PRUEBA DOCTOR,Adim.,Negativo,.,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29093,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29094,COLOR,.,Incoloro,,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29095,OLOR,,Comerciable,,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29096,DENSIDAD @ 15 °C,Kg/L,Reportar,-,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29097,GRAVEDAD API @ 60 ° F,,Reportar,-,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29098,INDICE ANTIDETONANTE,,Reportar,,,,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,1,2023 05 137.pdf,
29099,NUMERO DE OCTANO METODO RESEARCH (RON),,95,,ASTM D-2699,95.1,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,2,2023 05 137.pdf,
29100,NUMERO DE OCTANO METODO MOTOR (MON),.,82,,ASTM D-2700,86.4,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,2,2023 05 137.pdf,
29101,CONTENIDO DE PLOMO,G/gal,,0.02,ASTM D-3237,N/D,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,2,2023 05 137.pdf,
29102,PRESION A VAPOR REID (RVP] @ 100 º F,PSI,,10.0,ASTM D-323,8.12,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,2,2023 05 137.pdf,
29103,RVP + 0.1 E 70°℃,",",Reportar,-,Calculo,9.85,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,2,2023 05 137.pdf,
29104,DESTILACION 10% VOL. RECUPERADO,,,75,ASTM D86,62,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,2,2023 05 137.pdf,
29105,DESTILACION 50% VOL RECUPERADO,,,121,ASTM D86,113,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,2,2023 05 137.pdf,
29106,DESTILACION 90% VOL RECUPERADO,·℃,,190,ASTM D86,174,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,2,2023 05 137.pdf,
29107,PUNTO FINAL,℃,,225,ASTM D86,211,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,2,2023 05 137.pdf,
29108,RESIDUO,% Vol.,,"2,0",ASTM D86,0.9,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,2,2023 05 137.pdf,
29109,RECUPERADO @ 70 °℃,% Vol.,Reportar,.,ASTM D86,17.31,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,2,2023 05 137.pdf,
29110,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,,4,ASTM D-381,N/D,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,2,2023 05 137.pdf,
29111,PERIODO DE INDUCCION,Minutos,240,,ASTM D-525,>240,ECOPETROLEO CAMILO,GASOLINA PREMIUM,2023-05-31 18:13:00,2,2023 05 137.pdf,
